iter	Passed	Remaining
0	1	140
1	2	127
2	3	124
3	5	122
4	6	119
5	7	118
6	8	116
7	9	114
8	11	113
9	12	112
10	13	111
11	14	109
12	16	108
13	17	106
14	18	104
15	19	102
16	20	101
17	22	100
18	23	99
19	24	97
20	25	96
21	26	95
22	27	93
23	29	92
24	30	91
25	31	89
26	32	88
27	33	87
28	35	85
29	36	84
30	37	83
31	38	82
32	39	81
33	41	79
34	42	78
35	43	77
36	44	76
37	46	75
38	47	73
39	48	72
40	49	71
41	50	70
42	52	68
43	53	67
44	54	66
45	55	65
46	56	63
47	57	62
48	58	61
49	60	60
50	61	58
51	62	57
52	63	56
53	64	55
54	65	53
55	66	52
56	68	51
57	69	50
58	70	48
59	71	47
60	72	46
61	73	45
62	74	43
63	75	42
64	77	41
65	78	40
66	79	39
67	80	37
68	81	36
69	83	35
70	84	34
71	85	33
72	86	32
73	87	30
74	88	29
75	90	28
76	91	27
77	92	26
78	93	24
79	95	23
80	96	22
81	97	21
82	98	20
83	99	18
84	100	17
85	101	16
86	103	15
87	104	14
88	105	13
89	106	11
90	107	10
91	109	9
92	110	8
93	112	7
94	113	5
95	114	4
96	116	3
97	117	2
98	118	1
99	120	0
