iter	Passed	Remaining
0	146	146071
1	147	73534
2	148	49382
3	149	37280
4	150	30012
5	152	25212
6	153	21788
7	154	19180
8	155	17155
9	156	15534
10	157	14203
11	159	13096
12	160	12176
13	161	11373
14	162	10679
15	163	10067
16	165	9581
17	167	9143
18	168	8714
19	170	8355
20	171	8015
21	173	7697
22	174	7404
23	175	7138
24	176	6888
25	177	6657
26	179	6452
27	180	6266
28	181	6085
29	182	5912
30	184	5754
31	185	5603
32	186	5464
33	187	5330
34	188	5202
35	189	5083
36	190	4970
37	192	4865
38	194	4795
39	195	4699
40	196	4606
41	198	4519
42	199	4434
43	200	4355
44	201	4279
45	202	4207
46	204	4137
47	205	4070
48	206	4009
49	208	3968
50	210	3911
51	211	3854
52	212	3800
53	213	3745
54	214	3693
55	216	3641
56	217	3592
57	218	3546
58	219	3500
59	220	3456
60	222	3426
61	224	3390
62	225	3351
63	226	3315
64	227	3276
65	228	3238
66	230	3204
67	231	3170
68	232	3137
69	233	3105
70	234	3073
71	235	3041
72	238	3024
73	239	2994
74	240	2964
75	241	2936
76	242	2908
77	243	2880
78	244	2853
79	245	2828
80	247	2803
81	248	2779
82	248	2750
83	250	2727
84	251	2706
85	253	2692
86	254	2674
87	256	2654
88	257	2639
89	259	2622
90	260	2603
91	261	2584
92	263	2566
93	264	2547
94	265	2528
95	267	2515
96	268	2500
97	269	2484
98	271	2468
99	272	2454
100	274	2439
101	275	2423
102	276	2407
103	277	2392
104	278	2377
105	280	2362
106	282	2357
107	283	2344
108	285	2331
109	286	2318
110	287	2305
111	289	2292
112	290	2279
113	291	2266
114	292	2253
115	294	2240
116	294	2225
117	297	2224
118	299	2214
119	300	2202
120	301	2190
121	302	2178
122	303	2167
123	305	2155
124	306	2144
125	307	2133
126	308	2121
127	309	2111
128	311	2102
129	312	2094
130	314	2083
131	315	2073
132	316	2063
133	317	2054
134	319	2044
135	320	2035
136	321	2025
137	322	2016
138	324	2007
139	326	2007
140	328	2000
141	329	1989
142	330	1980
143	331	1971
144	332	1963
145	334	1954
146	335	1946
147	336	1937
148	337	1930
149	339	1922
150	340	1914
151	341	1907
152	343	1901
153	344	1893
154	345	1885
155	347	1879
156	348	1871
157	349	1864
158	351	1857
159	352	1850
160	353	1840
161	354	1833
162	356	1828
163	357	1821
164	358	1814
165	359	1808
166	361	1801
167	362	1795
168	364	1789
169	365	1783
170	366	1778
171	368	1772
172	369	1766
173	371	1764
174	373	1759
175	374	1753
176	375	1747
177	377	1741
178	378	1734
179	379	1729
180	380	1722
181	381	1716
182	383	1710
183	384	1705
184	386	1701
185	387	1696
186	388	1691
187	390	1685
188	391	1679
189	392	1674
190	394	1670
191	395	1666
192	397	1660
193	398	1655
194	399	1650
195	402	1651
196	403	1646
197	405	1642
198	406	1637
199	407	1631
200	409	1626
201	410	1621
202	411	1617
203	413	1612
204	414	1607
205	416	1603
206	417	1601
207	419	1596
208	420	1592
209	422	1587
210	423	1583
211	424	1579
212	426	1575
213	427	1570
214	428	1566
215	430	1562
216	432	1561
217	434	1557
218	435	1553
219	437	1549
220	438	1546
221	439	1541
222	441	1537
223	442	1532
224	443	1528
225	445	1526
226	447	1523
227	448	1518
228	450	1515
229	451	1511
230	452	1507
231	454	1504
232	455	1500
233	457	1496
234	458	1493
235	460	1489
236	461	1485
237	463	1482
238	464	1478
239	465	1474
240	467	1470
241	468	1467
242	469	1463
243	471	1460
244	472	1456
245	474	1452
246	476	1451
247	477	1447
248	478	1443
249	479	1439
250	481	1436
251	482	1432
252	484	1429
253	485	1425
254	486	1421
255	487	1418
256	489	1414
257	491	1412
258	492	1409
259	494	1406
260	495	1403
261	497	1400
262	498	1396
263	499	1393
264	502	1393
265	503	1390
266	506	1391
267	508	1388
268	510	1386
269	511	1382
270	512	1379
271	514	1377
272	515	1373
273	517	1371
274	518	1368
275	521	1368
276	523	1365
277	524	1361
278	525	1358
279	527	1356
280	528	1352
281	530	1349
282	531	1346
283	533	1345
284	536	1345
285	537	1342
286	538	1338
287	540	1335
288	541	1332
289	542	1329
290	544	1325
291	545	1322
292	547	1320
293	548	1317
294	551	1317
295	554	1318
296	555	1315
297	557	1312
298	558	1310
299	560	1307
300	561	1304
301	563	1301
